title,description,link,published,source_name,stakeholders,days_old,recency_label,matched_keywords,trend_score,trend_score_log,extracted_keywords,id,keyword_freq,rarity_score,pestle_tags,summary,approved
ST 13460 2025 INIT,"Regulation (EU) 2021/1060 of the European Parliament and of the Council of 24 June 2021 laying down common provisions on the European Regional Development Fund, the European Social Fund Plus, the Cohesion Fund, the Just Transition Fund and the European Maritime, Fisheries and Aquaculture Fund and financial rules for those and for the Asylum, Migration and Integration Fund, the Internal Security Fund and the Instrument for Financial Support for Border Management and Visa Policy",https://data.consilium.europa.eu/doc/document/ST-13460-2025-INIT/en/pdf,2025-10-20T00:00:00+02:00,Consilium – Public Register LD,"['INIT', 'EU', 'the European Parliament', 'the Council of 24 June 2021', 'the European Regional Development Fund', 'the European Social Fund Plus', 'the Cohesion Fund', 'the Just Transition Fund', 'the European Maritime', 'Fisheries and Aquaculture Fund', 'Migration and Integration Fund', 'the Internal Security Fund', 'the Instrument for Financial Support for Border Management']",8.0,Last 30 days,"['social', 'security']",3.5318566767292974,1.511131717936936,"fund, 2021, financial, european, 1060",47,2,0.3333333333333333,"Political, Social",,False
European childcare regimes beyond the ‘average family’ model: A fuzzy clustering analysis,"Journal of European Social Policy, Ahead of Print. The sustained expansion of early childhood care policies across Europe has altered the landscape of work-family reconciliation, yet this transformation remains unevenly distributed across social groups. This study utilises an intersectional (de)...",https://journals.sagepub.com/doi/abs/10.1177/09589287251386678?ai=2b4&mi=ehikzz&af=R,2025-10-18T08:48:55+00:00,JESP – Journal RSS,"['Journal of European Social Policy, Ahead of Print']",10.0,Last 30 days,['social'],3.4330626211475783,1.4890906817961411,"family, utilises, average, childhood, early",48,1,0.5,"Political, Technological",,False
ST 14082 2025 INIT,Council Conclusions on the social inclusion of persons with disabilities through the promotion of independent living,https://data.consilium.europa.eu/doc/document/ST-14082-2025-INIT/en/pdf,2025-10-17T00:00:00+02:00,Consilium – Public Register LD,"['ST', 'INIT', 'Council Conclusions']",11.0,Last 30 days,"['social', 'inclusion']",3.3860812401728833,1.4784361724353916,"independent, promotion, living, disabilities, persons",49,2,0.3333333333333333,Social,,False
"Briefing Employment, Social Policy, Health, And Consumer Affairs Council",,https://www.consilium.europa.eu//en/meetings/mpo/2025/10/briefing-employment-social-policy-health-and-consumer-affairs-council-(360424)/,2025-10-17T00:00:00+00:00,Consilium – EPSCO Working Party,"['Briefing Employment', 'Social Policy, Health', 'Consumer Affairs Council']",11.0,Last 30 days,"['employment', 'social']",3.3860812401728833,1.4784361724353916,"briefing, consumer, health, affairs, employment",50,2,0.3333333333333333,"Political, Economic, Technological",,False
CM 4685 2025 INIT,"COUNCIL OF THE EUROPEAN UNION (Employment, Social Policy, Health and Consumer Affairs)",https://data.consilium.europa.eu/doc/document/CM-4685-2025-INIT/en/pdf,2025-10-17T00:00:00+02:00,Consilium – Public Register LD,"['CM', 'INIT', 'THE EUROPEAN UNION (', 'Employment, Social Policy, Health and Consumer Affairs']",11.0,Last 30 days,"['employment', 'social']",3.3860812401728833,1.4784361724353916,"cm, union, consumer, init, health",51,2,0.3333333333333333,"Political, Economic, Technological",,False
ST 13594 2025 INIT,"Regulation (EU) 2021/1060 of the European Parliament and of the Council of 24 June 2021 laying down common provisions on the European Regional Development Fund, the European Social Fund Plus, the Cohesion Fund, the Just Transition Fund and the European Maritime, Fisheries and Aquaculture Fund and financial rules for those and for the Asylum, Migration and Integration Fund, the Internal Security Fund and the Instrument for Financial Support for Border Management and Visa Policy",https://data.consilium.europa.eu/doc/document/ST-13594-2025-INIT/en/pdf,2025-10-17T00:00:00+02:00,Consilium – Public Register LD,"['ST', 'INIT', 'EU', 'the European Parliament', 'the Council of 24 June 2021', 'the European Regional Development Fund', 'the European Social Fund Plus', 'the Cohesion Fund', 'the Just Transition Fund', 'the European Maritime', 'Fisheries and Aquaculture Fund', 'Migration and Integration Fund', 'the Internal Security Fund', 'the Instrument for Financial Support for Border Management']",11.0,Last 30 days,"['social', 'security']",3.3860812401728833,1.4784361724353916,"fund, 2021, financial, european, 1060",52,2,0.3333333333333333,"Political, Social",,False
ST 14171 2025 INIT,"Voting result - Amendments of the European Parliament to the Council's position on the draft budget for 2026 - Non-approval of the European Parliament's amendment(s) - 4123rd meeting of the COUNCIL OF THE EUROPEAN UNION (Employment, Social Policy, Health and Consumer Affairs), 17 October 2025, Brussels",https://data.consilium.europa.eu/doc/document/ST-14171-2025-INIT/en/pdf,2025-10-17T00:00:00+02:00,Consilium – Public Register LD,"['ST', 'INIT', 'the European Parliament', 'Council', ""the European Parliament's"", 'the COUNCIL OF THE EUROPEAN UNION (', 'Employment, Social Policy, Health and Consumer Affairs', 'Brussels']",11.0,Last 30 days,"['employment', 'social']",3.3860812401728833,1.4784361724353916,"parliament, voting, 2026, european, budget",53,2,0.3333333333333333,"Political, Economic, Technological",,False
"Press Conference Employment, Social Policy, Health And Consumer Affairs Council",,https://www.consilium.europa.eu//en/meetings/mpo/2025/10/press-conference-employment-social-policy-health-and-consumer-affairs-council-(360425)/,2025-10-17T00:00:00+00:00,Consilium – EPSCO Working Party,"['Press Conference Employment', 'Social Policy,', 'Consumer Affairs Council']",11.0,Last 30 days,"['employment', 'social']",3.3860812401728833,1.4784361724353916,"press, conference, consumer, health, affairs",54,2,0.3333333333333333,"Political, Economic, Technological",,False
ST 13744 2025 INIT,"COUNCIL OF THE EUROPEAN UNION (Employment, Social Policy, Health and Consumer Affairs)",https://data.consilium.europa.eu/doc/document/ST-13744-2025-INIT/en/pdf,2025-10-16T00:00:00+02:00,Consilium – Public Register LD,"['ST', 'INIT', 'THE EUROPEAN UNION (', 'Employment, Social Policy, Health and Consumer Affairs']",12.0,Last 30 days,"['employment', 'social']",3.3406400920712787,1.4680218238895948,"union, consumer, init, st, health",55,2,0.3333333333333333,"Political, Economic, Technological",,False
ST 13660 2025 INIT,"COUNCIL OF THE EUROPEAN UNION (Employment, Social Policy, Health and Consumer Affairs)",https://data.consilium.europa.eu/doc/document/ST-13660-2025-INIT/en/pdf,2025-10-16T00:00:00+02:00,Consilium – Public Register LD,"['INIT', 'THE EUROPEAN UNION (', 'Employment, Social Policy, Health and Consumer Affairs']",12.0,Last 30 days,"['employment', 'social']",3.3406400920712787,1.4680218238895948,"union, consumer, init, st, health",56,2,0.3333333333333333,"Political, Economic, Technological",,False
ST 13745 2025 INIT,"COUNCIL OF THE EUROPEAN UNION (Employment, Social Policy, Health and Consumer Affairs)",https://data.consilium.europa.eu/doc/document/ST-13745-2025-INIT/en/pdf,2025-10-16T00:00:00+02:00,Consilium – Public Register LD,"['INIT', 'THE EUROPEAN UNION (', 'Employment, Social Policy, Health and Consumer Affairs']",12.0,Last 30 days,"['employment', 'social']",3.3406400920712787,1.4680218238895948,"union, consumer, init, st, health",57,2,0.3333333333333333,"Political, Economic, Technological",,False
"Press Briefing Ahead Of Employment, Social Policy, Health And Consumer Affairs Council",,https://www.consilium.europa.eu//en/meetings/mpo/2025/10/press-briefing-ahead-of-employment-social-policy-health-and-consumer-affairs-council-(360810)/,2025-10-13T00:00:00+00:00,Consilium – EPSCO Working Party,"['Press Briefing Ahead Of Employment', 'Social Policy,', 'Consumer Affairs Council']",15.0,Last 30 days,"['employment', 'social']",3.213061319425267,1.4381895377035077,"briefing, press, ahead, consumer, health",58,2,0.3333333333333333,"Political, Economic, Technological",,False
Inflation Report Will Be Released Despite Shutdown,The Bureau of Labor Statistics is calling back some employees to produce the Consumer Price Index for September. That data is needed to calculate the annual cost-of-living adjustment for Social Security beneficiaries.,https://www.nytimes.com/2025/10/09/business/economy/inflation-report-release-shutdown.html,2025-10-11T05:39:02+00:00,NYT – Economy,"['The Bureau of Labor Statistics', 'Social Security']",17.0,Last 30 days,"['social', 'security']",3.1348273375940074,1.419445571278323,"beneficiaries, september, employees, inflation, price",59,2,0.3333333333333333,Economic,,False
Fiscal drag in theory and in practice: a European perspective,"This paper presents a comprehensive characterization of “fiscal drag”—the increase in tax revenue that occurs when nominal tax bases grow but nominal parameters of progressive tax legislation are not updated accordingly—across 21 European countries using a microsimulationapproach. First, we estimate tax-to-base elasticities, showing that the progressivity built in each country’s personal income tax system induces elasticities around 1.7–2 for many countries, indicating a potential for large fiscal drag effects. We unpack these elasticities to show stark heterogeneity in their underlying mechanisms (tax brackets or tax deductions and credits), across income sources (labor, capital, self-employment, public benefits), and across the individual income distribution. Second, we extend the analysis beyond these elasticities to study fiscal drag in practice between 2019 and 2023, incorporating observed income growth and legislative changes. We quantify the actual impact of fiscal drag and the extent to which government policies have offset it, either through indexation or other reforms. Our results provide new insights into the fiscal and distributional effects of fiscal drag in Europe, as well as useful statistics for modeling public finances.",https://www.ecb.europa.eu//pub/pdf/scpwps/ecb.wp3136~7e214e2ce2.en.pdf,2025-10-09T11:00:00+02:00,ECB – Publications,['microsimulationapproach'],19.0,Last 30 days,"['employment', 'reform', 'benefits']",3.061638901124028,1.4015865623883275,"drag, fiscal, tax, elasticities, income",60,3,0.25,"Political, Economic",,False
Euro area job vacancy rate at 2.4%,"In the first quarter of 2025, the job vacancy rate was 2.4% in the euro area, a decrease from 2.5% in the fourth quarter of 2024 and from 2.9% in the first quarter of 2024, according to the figures published by Eurostat, the statistical office of the European Union. The job vacancy rate in the EU...",https://ec.europa.eu/eurostat/product?code=3-16062025-ap,2025-06-16T09:00:00+00:00,Eurostat – Population & Society,"['Eurostat', 'the European Union', 'EU']",134.0,Older,['job'],3.034456611710784,1.3948716239322705,"vacancy, quarter, rate, job, 2024",61,1,0.5,,,False
"The distant, the capable and trustworthy, and the digitally skilled—the production of client roles in municipal activation and social assistance services using automated decision-making","Journal of European Social Policy, Ahead of Print. While research on the ramifications of automated decision-making (ADM) for welfare organisations is growing rapidly, less attention has been paid to elucidating the role and experiences of clients in the ADM process. This paper draws attention to how the ...",https://journals.sagepub.com/doi/abs/10.1177/09589287251351094?ai=2b4&mi=ehikzz&af=R,2025-06-16T06:52:56+00:00,JESP – Journal RSS,"['Journal of European Social Policy', 'ADM']",134.0,Older,"['social', 'activation']",3.034456611710784,1.3948716239322705,"adm, attention, automated, making, decision",62,2,0.3333333333333333,"Political, Social, Technological",,False
"Federal solidarity, regional autonomy and institutional moral hazard. The case of Belgian unemployment insurance and activation policies","Journal of European Social Policy, Ahead of Print. By studying unemployment insurance and activation policies in Belgium, we illustrate a three-way tension between three policy goals: central-level solidarity, subnational autonomy and so-called institutional moral hazard. We develop this framework by ...",https://journals.sagepub.com/doi/abs/10.1177/09589287251331589?ai=2b4&mi=ehikzz&af=R,2025-05-28T06:48:23+00:00,JESP – Journal RSS,"['Journal of European Social Policy', 'Belgium']",153.0,Older,"['employment', 'social', 'activation']",3.0182902396965474,1.3908564986511647,"hazard, insurance, moral, autonomy, solidarity",63,3,0.25,"Political, Economic",,False
Behind and beyond closed doors: Understanding civil society strategies in immigrant social rights advocacy,"Journal of European Social Policy, Ahead of Print. This article investigates the strategies employed by civil society organizations (CSOs) advocating for inclusive policy changes related to immigrant social rights. A prominent hypothesis states that pro-immigrant policy changes are most effectively ...",https://journals.sagepub.com/doi/abs/10.1177/09589287251331583?ai=2b4&mi=ehikzz&af=R,2025-04-29T11:27:52+00:00,JESP – Journal RSS,['Journal of European Social Policy'],181.0,Older,['social'],3.0071924670431294,1.3880908632040252,"immigrant, strategies, society, changes, civil",64,1,0.5,"Political, Legal",,False
"Changing household structures, household employment, and poverty trends in rich countries","Journal of European Social Policy, Volume 35, Issue 4, Page 362-376, October 2025. Changes in household structures and employment patterns alter the balance between households with an above- versus a below-average poverty risk while also affecting relative income poverty thresholds. Examining 11 countries for which suitable microdata is ...",https://journals.sagepub.com/doi/abs/10.1177/09589287241313429?ai=2b4&mi=ehikzz&af=R,2025-01-22T06:14:23+00:00,JESP – Journal RSS,['Journal of European Social Policy'],279.0,Older,"['employment', 'social']",3.0002742726944347,1.3863629269428095,"household, poverty, structures, countries, versus",65,2,0.3333333333333333,"Political, Economic",,False
"Unpacking the globalization-welfare nexus. A meta-analysis of comparative evidence, mechanisms and effects of openness on social spending","Journal of European Social Policy, Volume 35, Issue 4, Page 392-405, October 2025. The article engages with the comparative literature on the highly debated globalization-welfare nexus by conducting an extended meta-analysis on the relationship between openness and social spending. By means of a series of meta-regressions, we ...",https://journals.sagepub.com/doi/abs/10.1177/09589287241313431?ai=2b4&mi=ehikzz&af=R,2025-01-08T03:40:16+00:00,JESP – Journal RSS,['Journal of European Social Policy'],293.0,Older,['social'],3.000171993413068,1.386337358548755,"meta, globalization, nexus, openness, spending",66,1,0.5,"Political, Social",,False
Economic and Financial Affairs Council,The Council approved guidelines for the 2025 EU budget and adopted its recommendation on the 2022 EU budget discharge. Ministers exchanged views on the mid-term review of the Recovery and Resilience Facility and the economic and financial impact of Russia’s aggression against Ukraine. Ministers of economic and financial affairs were joined by employment and social affairs ministers for a debate on social investments and reforms for resilient economies.,https://www.consilium.europa.eu/en/meetings/ecofin/2024/03/12/,2024-03-12T00:00:00+01:00,Consilium – ECOFIN Meetings,"['Economic and Financial Affairs Council', 'Council', 'EU', 'the Recovery and Resilience Facility', 'Russia', 'Ukraine']",595.0,Older,"['employment', 'social', 'reform']",3.0000000073048962,1.3862943629461146,"financial, budget, economic, affairs, ministers",67,3,0.25,"Political, Economic, Technological",,False
"Education, Youth, Culture and Sport Council","EU ministers for culture, media and education met in Brussels to discuss the state of play of the European Media Freedom Act and the importance of reading for social inclusion and quality of life. They also approved conclusions on at-risk and displaced artists and the automatic mutual recognition of education and training qualifications, as well as a resolution on the European Education Area: Looking to 2025 and beyond.",https://www.consilium.europa.eu/en/meetings/eycs/2023/05/15-16/,2023-05-15T00:00:00+02:00,Consilium – EYCS Meetings,"['Youth', 'Culture and Sport Council', 'EU', 'Brussels', 'the European Media Freedom Act', 'the European Education Area']",897.0,Older,"['training', 'social', 'inclusion']",3.0000000000003104,1.3862943611199683,"education, media, culture, artists, importance",68,3,0.25,"Social, Technological",,False
1 in 4 EU citizens avoided providing personal information to social or professional networking services due to security concerns,"In 2019, 44% of EU citizens aged between 16 to 74 claimed to have limited their private internet activities in the last 12 months due to security concerns.",https://ec.europa.eu/eurostat/product?code=9-16012020-bp,2020-01-16T10:00:00+00:00,Eurostat – R&D,['EU'],2111.0,Older,"['social', 'security']",3.0,1.3862943611198906,"concerns, citizens, security, 12, activities",69,2,0.3333333333333333,Technological,,False
The disability employment gap in European countries: What is the role of labour market policy?,No abstract available,https://api.elsevier.com/content/abstract/scopus_id/85104101445,2021-10-01T00:00:00,Scopus – Elsevier,[],10000.0,Unknown,"['labour market', 'labour', 'employment']",3.0,1.3862943611198906,"disability, gap, countries, role, abstract",70,3,0.25,"Political, Economic, Technological",,False
"Social democracy and active labour-market policies: Insiders, outsiders and the politics of employment promotion",No abstract available,https://api.elsevier.com/content/abstract/scopus_id/33646892202,2006-01-01T00:00:00,Scopus – Elsevier,[],10000.0,Unknown,"['labour', 'employment', 'social']",3.0,1.3862943611198906,"democracy, politics, promotion, active, policies",71,3,0.25,"Economic, Technological",,False
"A socio-legal exploration of the linkages between informal employment, social protection and labour law in Latin America",No abstract available,https://api.elsevier.com/content/abstract/scopus_id/84949952120,2015-10-01T00:00:00,Scopus – Elsevier,[],10000.0,Unknown,"['labour', 'employment', 'social']",3.0,1.3862943611198906,"socio, legal, law, informal, protection",72,3,0.25,"Economic, Technological, Legal",,False
The organization of work and systems of labour market regulation and social protection: A comparison of the EU-15,No abstract available,https://api.elsevier.com/content/abstract/scopus_id/85015902208,2010-01-01T00:00:00,Scopus – Elsevier,[],10000.0,Unknown,"['labour market', 'labour', 'social']",3.0,1.3862943611198906,"systems, regulation, protection, work, abstract",73,3,0.25,"Political, Economic, Technological",,False
Labour and social protection gaps impacting the health and well-being of workers in non-standard employment: An international comparative study,No abstract available,https://api.elsevier.com/content/abstract/scopus_id/105001346517,2025-03-01T00:00:00,Scopus – Elsevier,['Labour'],10000.0,Unknown,"['labour', 'employment', 'social']",3.0,1.3862943611198906,"standard, comparative, international, non, study",74,3,0.25,"Economic, Technological",,False
"Employment protection legislation, labour market dualism, and inequality in Europe",No abstract available,https://api.elsevier.com/content/abstract/scopus_id/84983591332,2016-08-01T00:00:00,Scopus – Elsevier,[],10000.0,Unknown,"['labour market', 'labour', 'employment']",3.0,1.3862943611198906,"inequality, legislation, europe, protection, abstract",75,3,0.25,"Economic, Technological",,False
"Contextualising institutional complementarity. How long-term unemployment depends on employment protection legislation, active labour market policies and the economic climate",No abstract available,https://api.elsevier.com/content/abstract/scopus_id/85038812713,2018-07-01T00:00:00,Scopus – Elsevier,[],10000.0,Unknown,"['labour market', 'labour', 'employment']",3.0,1.3862943611198906,"active, institutional, long, legislation, unemployment",76,3,0.25,"Economic, Technological, Environmental",,False
Labour Market and Social Protection Reforms in International Perspective: Parallel or Converging Tracks?,No abstract available,https://api.elsevier.com/content/abstract/scopus_id/85056127151,2017-07-05T00:00:00,Scopus – Elsevier,['Labour Market and Social Protection Reforms in'],10000.0,Unknown,"['labour market', 'labour', 'social', 'reform']",3.0,1.3862943611198906,"international, reforms, perspective, protection, abstract",77,4,0.2,"Political, Economic, Technological",,False
"Exclusion or Inclusion: National Differential Regulations of Migrant Workers’ Employment, Social Protection, and Migrations Policies on Im/Mobilities in East Asia-Examples of South Korea and Taiwan",No abstract available,https://api.elsevier.com/content/abstract/scopus_id/85143725276,2022-12-01T00:00:00,Scopus – Elsevier,"['Im/Mobilities', 'South Korea', 'Taiwan']",10000.0,Unknown,"['employment', 'social', 'inclusion']",3.0,1.3862943611198906,"differential, migrant, regulations, south, national",78,3,0.25,"Political, Economic, Social, Technological",,False
Individuals using the internet for participating in social networks,"Percentage of individuals using the internet for participating in social networks (creating a user profile, posting messages or other contributions) for private purposes, within the last 3 months prior to the survey.&nbsp;Expressed as a percentage of all individuals aged between 16 and 74 ...",https://ec.europa.eu/eurostat/web/products-datasets/-/tin00127,2025-10-06T21:00:00+00:00,Eurostat – R&D Datasets,['survey.&nbsp;Expressed'],21.0,Last 30 days,['social'],2.993170607582819,1.3845855538356988,"individuals, networks, participating, internet, percentage",79,1,0.5,,,False
Battle of the ages: distributional and aggregate effects of monetary policy in a model with age demographics,"We develop a model in which agents face unemployment risk, but also age and eventually retire. We study the impact of different retirement schemes on life-cycle consumption and the monetary transmission mechanism. Agents save because of a fall in income upon retirement, changes along the life-cycle wage profile, and unemployment risk. Changes in retirement policies affect the distribution of available assets (bonds) among the middle aged and the young, which in turn can have a strong impact on the ability of the young to insure themselves against unemployment risk. Interestingly, it is possible that an increase in retirement benefits leads to higher consumption levels during sustained unemployment spells even though the associated increase in taxes reduces unemployment benefits. The reason is that this policy induces the middle aged to save less which leaves more of the available asset supply to the young. A reduction in the interest rate has a bigger impact on those for whom labor market conditions improve the most and – due to a larger negative income effect – has a smaller impact on those who save more. In terms of the aggregate impact of monetary-policy shocks, our paper confirms conventional wisdom that the expansion is magnified in the presence of incomplete markets, since it is then accompanied by a fall in precautionary savings. The novel aspect of our analysis is that the extent of the incompleteness, i.e., the ability of those subject to unemployment risk to insure themselves, is endogenous. Specifically, it is reduced as the young (middle-aged) hold a larger (smaller) fraction of the available asset supply and this distribution is not only affected by retirement policies, but also by government bond supply and the life-cycle wage profile. Thus, understanding the distribution of assets across different age cohorts is not only important for understanding life-cycle consumption patterns, but also business cycles.",https://www.ecb.europa.eu//pub/pdf/scpwps/ecb.wp3125~bc2833900c.en.pdf,2025-09-30T11:00:00+02:00,ECB – Working Papers,[],28.0,Last 30 days,"['employment', 'benefits']",2.7864814417371964,1.3314372083943251,"unemployment, retirement, cycle, life, risk",80,2,0.3333333333333333,"Political, Economic, Technological",,False
Press release - MEPs back measures to boost EU support for security and defence investments,"As part of the ReArm Europe Plan, the measures aim to strengthen Europe’s defence technological and industrial base by channelling EU funding to defence and security.Committee on Industry, Research and Energy Source : © European Union, 2025 - EP",https://www.europarl.europa.eu/news/en/press-room/20250922IPR30501/,2025-09-23T11:33:02+00:00,EP – Press Releases (Committees),"['EU', 'the ReArm Europe Plan', 'Committee on Industry, Research and Energy Source', '© European Union']",34.0,Last 3 months,['security'],2.6439165430753517,1.2930590765765397,"defence, measures, europe, security, boost",81,1,0.5,"Technological, Environmental",,False
Annual increase in labour costs at 3.6% in euro area,"In the second quarter of 2025 the hourly labour costs rose by 3.6% in the euro area and by 4.0% in the EU, compared with the same quarter of the previous year. These figures are published by Eurostat, the statistical office of the European Union.",https://ec.europa.eu/eurostat/product?code=3-16092025-bp,2025-09-16T09:00:00+00:00,Eurostat – Population & Society,"['EU', 'Eurostat', 'the European Union']",42.0,Last 3 months,['labour'],2.493193927883213,1.2508164832882136,"costs, quarter, euro, area, labour",82,1,0.5,,,False
What the Unemployment Rate Isn’t Telling Us,"The latest job report shows that unemployment remains steady, but it’s not telling the full story. Lydia DePillis, economy reporter for The New York Times, explains how low job growth is being offset by the Trump administration’s deportation campaign.",https://www.nytimes.com/video/jobs/100000010377364/what-the-unemployment-rate-isnt-telling-us.html,2025-09-05T21:05:11+00:00,NYT – Jobs,"['Us', 'Lydia DePillis', 'The New York Times', 'Trump']",52.0,Last 3 months,"['employment', 'job']",2.3533888915131933,1.2099714439119187,"telling, unemployment, job, explains, isn",83,2,0.3333333333333333,"Economic, Technological",,False
The hidden side of old age social protection: The impact of taxes on pensioners’ living standards in Europe,"Journal of European Social Policy, Ahead of Print. The complex interactions between the pension and the tax system remain understudied. We analyse how personal income tax systems of European countries contribute to fulfilling the two main objectives of pensions systems, notably safeguarding living ...",https://journals.sagepub.com/doi/abs/10.1177/09589287251371901?ai=2b4&mi=ehikzz&af=R,2025-08-27T05:25:40+00:00,JESP – Journal RSS,['Journal of European Social Policy'],62.0,Last 3 months,['social'],2.253214205578167,1.1796434939486091,"living, tax, systems, hidden, main",84,1,0.5,"Political, Technological",,False
Yesterday’s model for tomorrow’s economy? Dual VET and wage inequality in the knowledge economy,"Journal of European Social Policy, Ahead of Print. Dual vocational education and training (VET) is said to have positive economic effects. However, recent contributions suggest that the rise of the knowledge economy may undermine these positive effects because university-educated workers are better suited ...",https://journals.sagepub.com/doi/abs/10.1177/09589287251370494?ai=2b4&mi=ehikzz&af=R,2025-08-25T06:14:46+00:00,JESP – Journal RSS,"['VET', 'Journal of European Social Policy']",64.0,Last 3 months,"['training', 'social']",2.2368836580276072,1.174611033003056,"economy, positive, vet, dual, knowledge",85,2,0.3333333333333333,"Political, Economic, Social, Technological",,False
"Reinforcing unsustainable welfare in Europe? Growth-centrism, Eurocentrism and anthropocentrism in the 2024 EU Europarty election manifestos","Journal of European Social Policy, Ahead of Print. There is an emerging body of literature on sustainable welfare suggesting that Europe needs sustainable welfare policies to mitigate the crises of environmental destruction and growing social inequalities. However, research about how such policies are ...",https://journals.sagepub.com/doi/abs/10.1177/09589287251356966?ai=2b4&mi=ehikzz&af=R,2025-07-26T09:16:29+00:00,JESP – Journal RSS,"['EU Europarty', 'Journal of European Social Policy']",94.0,Older,['social'],2.0871446277378434,1.1272465950017205,"welfare, sustainable, policies, europe, unsustainable",86,1,0.5,"Political, Social, Technological",,False
Quid pro quo? A cross-national analysis of European citizens’ opinions toward the universality and conditionality of a basic income,"Journal of European Social Policy, Ahead of Print. Basic Income (BI) has gained traction as a potential welfare reform, yet its political feasibility remains contested. This study explores how public support for BI varies across European countries, focusing on two central policy design dimensions: ...",https://journals.sagepub.com/doi/abs/10.1177/09589287251359727?ai=2b4&mi=ehikzz&af=R,2025-07-26T09:40:30+00:00,JESP – Journal RSS,"['Journal of European Social Policy', 'BI']",94.0,Older,"['social', 'reform']",2.0871446277378434,1.1272465950017205,"basic, bi, income, varies, citizens",87,2,0.3333333333333333,"Political, Social, Technological",,False
Contract Award Change Notice: ECB - Investigation and security services – Investigative Services (Legal Competence) (Lot 2) (474397-2025),"Procurement: Contract Award Change Notice: ECB - Investigation and security services – Investigative Services (Legal Competence) (Lot 2) (474397-2025).
Issue date: 21/07/2025.
Closing date: 30/10/2025.",http://www.ecb.europa.eu/ecb/jobsproc/proc/pdf/contract_modification_notice_-_2025-ojs137-00474397-en-ts.pdf,2025-07-21T00:00:00+02:00,ECB – Procurement,['Investigative Services'],99.0,Older,['security'],2.07376633480248,1.1229036288253131,"services, 474397, award, competence, contract",88,1,0.5,Legal,,False
How welfare states influence online platform work in Europe,"Journal of European Social Policy, Ahead of Print. Digital labor platforms are reshaping global labor markets by enabling the transnational contracting of service workers. While the dominant perspective emphasizes market forces, predicting that lower-wage countries will dominate the supply side, this view ...",https://journals.sagepub.com/doi/abs/10.1177/09589287251357463?ai=2b4&mi=ehikzz&af=R,2025-07-18T09:37:18+00:00,JESP – Journal RSS,['Journal of European Social Policy'],102.0,Older,"['platform work', 'social']",2.0667465399206524,1.1206172406740031,"labor, platforms, view, enabling, service",89,2,0.3333333333333333,"Political, Economic, Social, Technological",,False
When caring comes at a cost: Psychological wellbeing of unpaid and paid carers and the role of social expenditure,"Journal of European Social Policy, Ahead of Print. This study examines whether, and under what conditions, unpaid and paid care work are associated with reduced psychological wellbeing. The article begins by laying out a shared theoretical framework for understanding the psychological consequences of care ...",https://journals.sagepub.com/doi/abs/10.1177/09589287251356978?ai=2b4&mi=ehikzz&af=R,2025-07-04T04:09:25+00:00,JESP – Journal RSS,"['Journal of European Social Policy, Ahead of Print']",116.0,Older,['social'],2.041856026663983,1.1124678642042456,"psychological, unpaid, paid, wellbeing, care",90,1,0.5,"Political, Technological",,False
"Employment, Social Policy, Health and Consumer Affairs Council (Health)","EU health ministers met in Luxembourg to discuss the mental health of children and adolescents, the critical medicines act, and policy measures to reduce tobacco and alcohol consumption.",https://www.consilium.europa.eu/en/meetings/epsco/2025/06/20/,2025-06-20T12:00:00+02:00,Consilium – EPSCO Meetings,"['Social Policy, Health and Consumer Affairs Council (Health', 'EU', 'Luxembourg']",129.0,Older,"['employment', 'social']",2.027137118024402,1.1076173273368686,"health, reduce, children, consumption, critical",91,2,0.3333333333333333,"Political, Economic, Technological",,False
Annual increase in labour costs at 3.4% in euro area,"In the first quarter of 2025 the hourly labour costs rose by 3.4% in the euro area and by 4.1% in the EU, compared with the same quarter of the previous year. These figures are published by Eurostat, the statistical office of the European Union.",https://ec.europa.eu/eurostat/product?code=3-16062025-bp,2025-06-16T09:00:00+00:00,Eurostat – Population & Society,"['EU', 'Eurostat', 'the European Union']",134.0,Older,['labour'],2.022971074473856,1.1062401472678696,"costs, quarter, euro, area, labour",92,1,0.5,,,False
"The politics of algorithmic profiling of unemployed: A framework for analysing legitimation, contestation, and compromises","Journal of European Social Policy, Ahead of Print. The proliferation of algorithmic profiling in public employment services has given rise to significant controversy, eliciting widespread concern and calls for more legitimate governance. So far, most studies addressing the issue of the legitimacy of ...",https://journals.sagepub.com/doi/abs/10.1177/09589287251345909?ai=2b4&mi=ehikzz&af=R,2025-06-12T03:14:48+00:00,JESP – Journal RSS,"['Journal of European Social Policy, Ahead of Print']",138.0,Older,"['employment', 'social']",2.020103671489267,1.1052911591052796,"algorithmic, profiling, given, politics, significant",93,2,0.3333333333333333,"Political, Economic",,False
A tall order. South European welfare states’ readiness for climate-adjusted social policy,"Journal of European Social Policy, Ahead of Print. Whether South European welfare states can accommodate the socio-economic challenges generated by the climate crisis has so far not been systematically addressed. Seeking to fill the gap, and focusing on the extreme cases Greece and Portugal, we assess ...",https://journals.sagepub.com/doi/abs/10.1177/09589287251345914?ai=2b4&mi=ehikzz&af=R,2025-06-03T01:55:40+00:00,JESP – Journal RSS,"['Journal of European Social Policy, Ahead of Print', 'Greece', 'Portugal']",147.0,Older,['social'],2.0148931661418485,1.1035643954358725,"south, climate, states, welfare, portugal",94,1,0.5,"Political, Social, Environmental",,False
